num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,ann_wit_ratio,ann_diff,wit_diff,ann_roll_std,wit_roll_std
248,109,6.181451612903226,15.0,2.978981936281412,9,100,357,2.2545454545454544,-70.0,43.0,38.79862721893981,37.16180835212448
1581,233,5.019607843137255,13.0,1.8313442415602756,38,59,1814,6.756410256410256,-263.0,0.0,142.5914917557026,1.1547005822854506
628,46,5.119426751592357,12.0,1.6482199400411708,11,33,674,13.361702127659575,105.0,14.0,72.85831094648282,50.71488930290567
1375,75,5.1054545454545455,19.0,1.7534815427204125,14,58,1450,18.092105263157894,-940.0,-126.0,7984.166101320271,76.12051847782814
547,169,6.16636197440585,20.0,2.176768255273091,35,101,716,3.2176470588235295,52.0,-7.0,90.42123722166717,63.31666447310704
2025,264,4.527901234567901,15.0,1.9526080792706568,39,62,2289,7.6415094339622645,-821.0,-545.0,615.1349446996652,279.73737683763295
3666,456,5.479268957992362,16.0,1.9371553292007884,75,112,4122,8.021881838074398,358.0,-72.0,1304.449692470624,194.46422121662997
3403,523,4.517778430796356,13.0,1.639548901656117,71,192,3926,6.494274809160306,1695.0,-32.0,1180.9556865185548,234.94963999417502
293,46,5.395904436860068,13.0,1.8731760961301585,9,33,339,6.23404255319149,-451.0,0.0,743.7085003372345,19.05255888325765
554,207,5.2671480144404335,18.0,2.2904849855579617,47,75,761,2.6634615384615383,190.0,30.0,100.53855052008527,57.9770069366584
2349,183,4.944231587909749,14.0,2.0101587823752203,28,73,2532,12.766304347826088,602.0,-42.0,329.6927865763156,51.26402247246397
5348,973,4.786275243081525,14.0,1.7494903950198402,138,210,6321,5.490759753593429,1029.0,323.0,530.8587384492408,171.220131215159
218,75,7.454128440366972,18.0,3.52191128547684,19,53,293,2.8684210526315788,-11.0,18.0,6.0827741003477485,15.567059238446555
523,106,7.145315487571701,15.0,2.623965159926067,18,81,629,4.88785046728972,39.0,-53.0,23.755704030877794,34.58805188693484
312,47,5.669871794871795,15.0,1.9927728353495373,6,39,359,6.5,-4198.0,13.0,2473.6405020684,90.0129620295508
1426,351,4.996493688639551,18.0,1.8931822887486072,55,73,1777,4.051136363636363,-16.0,112.0,76.62897615582786,65.84831053620618
4796,613,5.162218515429525,19.0,1.9337329662972904,99,128,5409,7.811074918566775,507.0,187.0,597.6880458789389,121.91116984588626
575,98,5.187826086956521,13.0,1.5332345931332036,14,80,673,5.808080808080808,-12.0,63.0,28.91943073400051,33.08070938376823
8512,547,4.189732142857143,18.0,1.9923662641462765,88,123,9059,15.532846715328468,5944.0,232.0,3195.1721915297107,247.66173166794692
1554,378,4.942084942084942,16.0,2.043098632879204,66,122,1932,4.100263852242744,243.0,65.0,132.48773600269416,83.11638425954129
16308,794,3.986325729703213,13.0,1.3849897579893269,129,208,17102,20.513207547169813,13782.0,394.0,7476.590555415079,198.93968935333152
17550,5365,4.945071225071225,18.0,1.6165992348430334,951,1736,22915,3.2705926202012674,3616.0,3156.0,3565.1215968297583,1944.5030213398436
1297,326,4.749421742482652,15.0,1.921666037460012,47,110,1623,3.9663608562691133,290.0,179.0,421.22836267756645,94.49338601190246
