num_announcements,num_withdrawals,avg_as_path_length,max_as_path_length,std_as_path_length,duplicate_withdrawals,unique_withdrawn_prefixes,total_records,label
9198.0,1948.0,4.940530550119592,18.0,2.0765013930989817,329.0,447.0,11146.0,1
2884.0,436.0,5.176837725381414,16.0,1.6560958676671222,132.0,150.0,3320.0,0
6642.0,966.0,4.544113218909967,20.0,2.004120072227549,170.0,319.0,7608.0,1
1801.0,49.0,5.794558578567463,21.0,1.3908534950855755,9.0,37.0,1850.0,0
20169.0,1202.0,4.439387178343002,18.0,1.1960847847507208,485.0,522.0,21371.0,1
4153.0,497.0,4.970142065976402,16.0,1.916150930558009,89.0,124.0,4650.0,0
4147.0,455.0,4.70388232457198,15.0,1.6425414719992963,60.0,104.0,4602.0,0
13097.0,1071.0,5.324578147667404,14.0,1.64096640225143,177.0,441.0,14168.0,0
24492.0,1318.0,5.177813163481953,16.0,1.3475775907529883,300.0,836.0,25810.0,1
217463.0,2260.0,4.091942077502839,20.0,1.4906080235263728,428.0,600.0,219723.0,1
566.0,97.0,6.918727915194347,16.0,2.888462942429089,10.0,83.0,663.0,0
7594.0,1180.0,4.7916776402422965,21.0,2.002251630448407,194.0,283.0,8774.0,1
489.0,76.0,5.627811860940695,18.0,2.215515911468421,20.0,50.0,565.0,0
7355.0,1081.0,4.332834806254249,16.0,1.649803580764679,259.0,280.0,8436.0,0
256.0,38.0,4.89453125,10.0,1.360939966630945,9.0,26.0,294.0,0
